"","DEPARTAMENTO","PROVINCIA","DISTRITO","2014","2015","2016","2017","2018","2019","2020","2021","2022","total"
"58","AYACUCHO","HUAMANGA","ANDRES AVELINO CACERES DORREGARAY",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"59","AYACUCHO","HUAMANGA","AYACUCHO",NA,1,3,NA,2,2,3,1,1,13
"60","AYACUCHO","HUAMANGA","CARMEN ALTO",NA,NA,NA,NA,NA,NA,1,2,2,5
"61","AYACUCHO","HUAMANGA","JESUS NAZARENO",NA,NA,1,NA,NA,NA,NA,1,1,3
"62","AYACUCHO","HUAMANGA","OCROS",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"63","AYACUCHO","HUAMANGA","SAN JUAN BAUTISTA",NA,NA,1,NA,NA,1,NA,3,2,7
"64","AYACUCHO","HUAMANGA","SOCOS",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"65","AYACUCHO","HUAMANGA","TAMBILLO",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"66","AYACUCHO","HUAMANGA","VINCHOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"67","AYACUCHO","HUANTA","AYAHUANCO",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"68","AYACUCHO","HUANTA","HUANTA",NA,NA,NA,NA,NA,2,NA,NA,2,4
"69","AYACUCHO","HUANTA","SANTILLANA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"70","AYACUCHO","HUANTA","UCHURACCAY",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"71","AYACUCHO","LUCANAS","CHAVIÑA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"72","AYACUCHO","LA MAR","AYNA",NA,1,1,1,NA,NA,NA,1,NA,4
"73","AYACUCHO","LA MAR","SAMUGARI",NA,NA,NA,NA,1,NA,1,NA,NA,2
"74","AYACUCHO","LA MAR","SAN MIGUEL",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"75","AYACUCHO","LA MAR","SANTA ROSA",1,NA,1,1,2,1,NA,NA,1,7
"76","AYACUCHO","CANGALLO","CANGALLO",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"77","AYACUCHO","HUANCA SANCOS","SANTIAGO DE LUCANAMARCA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"78","CAJAMARCA","JAEN","JAEN",1,NA,1,NA,NA,NA,NA,2,NA,4
"79","CAJAMARCA","JAEN","PUCARA",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"80","CAJAMARCA","SAN IGNACIO","SAN IGNACIO",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"81","CAJAMARCA","SAN IGNACIO","SAN JOSE DE LOURDES",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"82","CAJAMARCA","CAJAMARCA","CAJAMARCA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"83","CAJAMARCA","CUTERVO","CUTERVO",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"84","CAJAMARCA","CUTERVO","SAN LUIS DE LUCMA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"85","CAJAMARCA","CONTUMAZA","CONTUMAZA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"86","CAJAMARCA","CHOTA","CHOTA",1,NA,1,NA,NA,NA,NA,NA,NA,2
"87","CAJAMARCA","CHOTA","CONCHAN",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"88","CAJAMARCA","CHOTA","LLAMA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"89","CAJAMARCA","CHOTA","TACABAMBA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"90","CAJAMARCA","HUALGAYOC","BAMBAMARCA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"91","CALLAO","CALLAO","BELLAVISTA",NA,NA,1,1,2,NA,NA,NA,NA,4
"92","CALLAO","CALLAO","CALLAO",5,7,5,6,13,13,7,7,9,72
"93","CALLAO","CALLAO","CARMEN DE LA LEGUA-REYNOSO",NA,NA,1,NA,1,NA,1,NA,2,5
"94","CALLAO","CALLAO","LA PERLA",NA,NA,1,NA,NA,NA,NA,1,1,3
"95","CALLAO","CALLAO","MI PERU",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"96","CALLAO","CALLAO","VENTANILLA",4,3,7,18,3,11,2,2,NA,50
"97","CUSCO","ANTA","ANTA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"98","CUSCO","ANTA","CHINCHAYPUJIO",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"99","CUSCO","ANTA","HUAROCONDO",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"100","CUSCO","ANTA","MOLLEPATA",NA,NA,1,NA,NA,1,NA,NA,NA,2
"101","CUSCO","ANTA","PUCYURA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"102","CUSCO","ANTA","ZURITE",NA,1,1,NA,NA,NA,NA,NA,NA,2
"103","CUSCO","CUSCO","CCORCA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"104","CUSCO","CUSCO","CUSCO",4,NA,1,NA,1,1,NA,NA,1,8
"105","CUSCO","CUSCO","POROY",2,NA,NA,NA,NA,NA,NA,NA,NA,2
"106","CUSCO","CUSCO","SAN JERONIMO",NA,NA,1,NA,NA,3,1,1,NA,6
"107","CUSCO","CUSCO","SAN SEBASTIAN",2,1,2,NA,2,2,3,NA,NA,12
"108","CUSCO","CUSCO","SANTIAGO",4,1,2,3,1,NA,1,3,1,16
"109","CUSCO","CUSCO","SAYLLA",NA,NA,NA,NA,NA,2,NA,NA,1,3
"110","CUSCO","CUSCO","WANCHAQ",1,NA,NA,1,NA,2,NA,NA,NA,4
"111","CUSCO","CHUMBIVILCAS","COLQUEMARCA",NA,NA,1,NA,NA,NA,NA,1,NA,2
"112","CUSCO","CHUMBIVILCAS","LLUSCO",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"113","CUSCO","CHUMBIVILCAS","SANTO TOMAS",NA,NA,NA,NA,NA,2,NA,NA,NA,2
"114","CUSCO","CHUMBIVILCAS","VELILLE",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"115","CUSCO","LA CONVENCION","ECHARATE",NA,NA,NA,1,NA,3,1,1,1,7
"116","CUSCO","LA CONVENCION","HUAYOPATA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"117","CUSCO","LA CONVENCION","INKAWASI",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"118","CUSCO","LA CONVENCION","KIMBIRI",NA,1,2,2,NA,NA,NA,2,2,9
"119","CUSCO","LA CONVENCION","OCOBAMBA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"120","CUSCO","LA CONVENCION","PICHARI",NA,NA,NA,1,1,1,1,1,NA,5
"121","CUSCO","LA CONVENCION","SANTA ANA",NA,NA,1,1,1,NA,2,NA,NA,5
"122","CUSCO","LA CONVENCION","VILLA VIRGEN",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"123","CUSCO","CALCA","CALCA",NA,NA,1,NA,1,NA,NA,NA,NA,2
"124","CUSCO","CALCA","LAMAY",1,NA,NA,NA,NA,1,NA,NA,NA,2
"125","CUSCO","CALCA","PISAC",NA,1,NA,NA,NA,NA,1,NA,NA,2
"126","CUSCO","CALCA","SAN SALVADOR",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"127","CUSCO","CALCA","TARAY",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"128","CUSCO","CALCA","YANATILE",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"129","CUSCO","URUBAMBA","MARAS",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"130","CUSCO","URUBAMBA","OLLANTAYTAMBO",2,NA,NA,1,NA,NA,NA,NA,NA,3
"131","CUSCO","URUBAMBA","URUBAMBA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"132","CUSCO","PAUCARTAMBO","CHALLABAMBA",1,NA,NA,NA,1,NA,NA,NA,NA,2
"133","CUSCO","PAUCARTAMBO","HUANCARANI",NA,NA,NA,1,NA,1,NA,1,NA,3
"134","CUSCO","PAUCARTAMBO","KOSÑIPATA",NA,NA,NA,1,1,NA,NA,NA,NA,2
"135","CUSCO","QUISPICANCHI","CCATCA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"136","CUSCO","QUISPICANCHI","OROPESA",NA,NA,NA,NA,3,2,1,NA,NA,6
"137","CUSCO","QUISPICANCHI","QUIQUIJANA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"138","CUSCO","QUISPICANCHI","URCOS",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"139","CUSCO","CANCHIS","CHECACUPE",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"140","CUSCO","CANCHIS","SAN PABLO",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"141","CUSCO","CANCHIS","SICUANI",1,1,NA,2,3,1,1,1,NA,10
"142","CUSCO","CANCHIS","TINTA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"143","CUSCO","PARURO","ACCHA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"144","CUSCO","PARURO","HUANOQUITE",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"145","CUSCO","CANAS","PAMPAMARCA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"146","HUANCAVELICA","TAYACAJA","AHUAYCHA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"147","HUANCAVELICA","TAYACAJA","COLCABAMBA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"148","HUANCAVELICA","TAYACAJA","DANIEL HERNANDEZ",NA,1,NA,NA,1,NA,NA,NA,NA,2
