"","DEPARTAMENTO","PROVINCIA","DISTRITO","2014","2015","2016","2017","2018","2019","2020","2021","2022","total"
"256","LAMBAYEQUE","CHICLAYO","CAYALTI",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"257","LAMBAYEQUE","CHICLAYO","CHICLAYO",1,2,1,2,2,1,NA,NA,1,10
"258","LAMBAYEQUE","CHICLAYO","JOSE LEONARDO ORTIZ",1,1,3,1,NA,6,NA,NA,NA,12
"259","LAMBAYEQUE","CHICLAYO","LA VICTORIA",NA,NA,1,NA,1,NA,NA,NA,NA,2
"260","LAMBAYEQUE","CHICLAYO","PATAPO",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"261","LAMBAYEQUE","CHICLAYO","PIMENTEL",1,NA,NA,NA,1,NA,NA,NA,NA,2
"262","LAMBAYEQUE","CHICLAYO","POMALCA",1,NA,1,NA,NA,NA,NA,NA,NA,2
"263","LAMBAYEQUE","CHICLAYO","SAÑA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"264","LAMBAYEQUE","CHICLAYO","SANTA ROSA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"265","LAMBAYEQUE","LAMBAYEQUE","ILLIMO",NA,1,NA,NA,1,NA,NA,NA,NA,2
"266","LAMBAYEQUE","LAMBAYEQUE","JAYANCA",NA,NA,NA,NA,NA,1,NA,1,1,3
"267","LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE",NA,1,3,NA,NA,1,NA,NA,1,6
"268","LAMBAYEQUE","LAMBAYEQUE","MOCHUMI",NA,NA,1,NA,NA,NA,NA,1,NA,2
"269","LAMBAYEQUE","LAMBAYEQUE","MORROPE",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"270","LAMBAYEQUE","LAMBAYEQUE","MOTUPE",NA,NA,NA,1,1,NA,NA,NA,NA,2
"271","LAMBAYEQUE","LAMBAYEQUE","OLMOS",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"272","LAMBAYEQUE","LAMBAYEQUE","PACORA",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"273","LAMBAYEQUE","FERREÑAFE","FERREÑAFE",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"274","LIMA","LIMA","ANCON",NA,1,NA,NA,NA,NA,1,NA,NA,2
"275","LIMA","LIMA","ATE",11,7,3,4,14,14,17,10,20,100
"276","LIMA","LIMA","BARRANCO",1,NA,1,NA,1,NA,NA,NA,NA,3
"277","LIMA","LIMA","BREÑA",1,NA,1,NA,1,NA,2,1,2,8
"278","LIMA","LIMA","CARABAYLLO",2,3,1,1,1,2,4,1,4,19
"279","LIMA","LIMA","CHACLACAYO",1,NA,NA,NA,1,NA,NA,2,NA,4
"280","LIMA","LIMA","CHORRILLOS",1,3,NA,1,1,2,3,7,3,21
"281","LIMA","LIMA","CIENEGUILLA",NA,NA,NA,NA,NA,NA,NA,NA,3,3
"282","LIMA","LIMA","COMAS",3,3,NA,2,14,13,5,3,14,57
"283","LIMA","LIMA","EL AGUSTINO",4,7,2,3,9,15,13,26,18,97
"284","LIMA","LIMA","INDEPENDENCIA",1,1,NA,1,5,6,3,5,1,23
"285","LIMA","LIMA","JESUS MARIA",1,NA,NA,1,1,2,NA,3,1,9
"286","LIMA","LIMA","LA MOLINA",2,NA,NA,NA,1,NA,3,1,1,8
"287","LIMA","LIMA","LA VICTORIA",9,10,8,8,6,1,10,9,7,68
"288","LIMA","LIMA","LIMA",12,6,4,10,12,6,23,11,13,97
"289","LIMA","LIMA","LOS OLIVOS",NA,3,NA,2,2,8,4,1,4,24
"290","LIMA","LIMA","LURIGANCHO",3,2,NA,NA,7,NA,4,1,4,21
"291","LIMA","LIMA","LURIN",NA,NA,NA,2,1,2,3,3,2,13
"292","LIMA","LIMA","MAGDALENA DEL MAR",NA,NA,NA,NA,2,2,2,NA,NA,6
"293","LIMA","LIMA","MIRAFLORES",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"294","LIMA","LIMA","PACHACAMAC",3,NA,NA,1,4,NA,6,4,2,20
"295","LIMA","LIMA","PUCUSANA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"296","LIMA","LIMA","PUEBLO LIBRE",1,NA,1,1,NA,1,NA,2,2,8
"297","LIMA","LIMA","PUENTE PIEDRA",10,3,4,4,4,4,11,8,6,54
"298","LIMA","LIMA","RIMAC",4,NA,NA,3,4,6,4,5,3,29
"299","LIMA","LIMA","SAN BARTOLO",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"300","LIMA","LIMA","SAN BORJA",1,NA,1,1,NA,NA,NA,NA,NA,3
"301","LIMA","LIMA","SAN ISIDRO",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"302","LIMA","LIMA","SAN JUAN DE LURIGANCHO",21,10,2,19,32,26,29,30,20,189
"303","LIMA","LIMA","SAN JUAN DE MIRAFLORES",4,3,NA,4,7,3,1,4,12,38
"304","LIMA","LIMA","SAN LUIS",1,1,1,NA,NA,NA,1,1,NA,5
"305","LIMA","LIMA","SAN MARTIN DE PORRES",6,7,2,8,10,17,6,10,6,72
"306","LIMA","LIMA","SAN MIGUEL",1,NA,NA,1,3,NA,3,1,NA,9
"307","LIMA","LIMA","SANTA ANITA",4,4,NA,6,3,3,7,12,10,49
"308","LIMA","LIMA","SANTIAGO DE SURCO",2,NA,1,1,1,4,2,NA,2,13
"309","LIMA","LIMA","SURQUILLO",1,1,2,NA,1,NA,NA,1,NA,6
"310","LIMA","LIMA","VILLA EL SALVADOR",1,3,NA,6,12,8,7,6,12,55
"311","LIMA","LIMA","VILLA MARIA DEL TRIUNFO",NA,3,1,3,5,2,3,6,7,30
"312","LIMA","BARRANCA","BARRANCA",1,NA,NA,1,NA,NA,NA,NA,3,5
"313","LIMA","BARRANCA","PARAMONGA",2,1,1,NA,NA,NA,NA,NA,NA,4
"314","LIMA","BARRANCA","SUPE",NA,NA,NA,NA,NA,NA,NA,NA,2,2
"315","LIMA","HUAROCHIRI","HUAROCHIRI",NA,NA,NA,NA,NA,1,NA,2,NA,3
"316","LIMA","HUAROCHIRI","RICARDO PALMA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"317","LIMA","HUAROCHIRI","SAN ANTONIO",NA,NA,NA,NA,1,1,NA,NA,1,3
"318","LIMA","HUAROCHIRI","SAN BARTOLOME",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"319","LIMA","HUAURA","CALETA DE CARQUIN",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"320","LIMA","HUAURA","HUACHO",NA,1,NA,NA,1,2,2,NA,1,7
"321","LIMA","HUAURA","HUALMAY",NA,NA,NA,NA,2,NA,NA,NA,NA,2
"322","LIMA","HUAURA","HUAURA",NA,NA,1,NA,1,2,2,NA,NA,6
"323","LIMA","HUAURA","SANTA MARIA",NA,NA,NA,NA,2,2,NA,1,NA,5
"324","LIMA","HUAURA","SAYAN",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"325","LIMA","HUAURA","VEGUETA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"326","LIMA","HUARAL","ATAVILLOS BAJO",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"327","LIMA","HUARAL","CHANCAY",NA,NA,1,NA,NA,2,NA,3,NA,6
"328","LIMA","CAÑETE","ASIA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"329","LIMA","CAÑETE","CHILCA",NA,NA,NA,NA,NA,NA,NA,2,NA,2
"330","LIMA","CAÑETE","IMPERIAL",NA,NA,1,NA,NA,NA,2,2,NA,5
"331","LIMA","CAÑETE","LUNAHUANA",NA,NA,NA,NA,1,NA,NA,NA,1,2
"332","LIMA","CAÑETE","MALA",NA,NA,1,NA,NA,NA,1,NA,2,4
"333","LIMA","CAÑETE","NUEVO IMPERIAL",NA,NA,NA,NA,1,NA,NA,NA,1,2
"334","LIMA","CAÑETE","QUILMANA",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"335","LIMA","CAÑETE","SAN VICENTE DE CAÑETE",NA,2,NA,NA,3,2,NA,1,3,11
"336","LIMA","CAJATAMBO","GORGOR",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"337","LIMA","CAÑETE","SAN ANTONIO",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"338","LORETO","MAYNAS","ALTO NANAY",1,NA,NA,NA,1,NA,NA,NA,NA,2
"339","LORETO","MAYNAS","BELEN",3,1,NA,1,NA,NA,NA,NA,NA,5
"340","LORETO","MAYNAS","FERNANDO LORES",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"341","LORETO","MAYNAS","IQUITOS",NA,3,NA,2,3,1,NA,NA,1,10
"342","LORETO","MAYNAS","MAZAN",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"343","LORETO","MAYNAS","PUNCHANA",NA,NA,1,8,3,2,NA,2,NA,16
"344","LORETO","MAYNAS","SAN JUAN BAUTISTA",NA,1,NA,NA,2,2,1,NA,NA,6
"345","LORETO","ALTO AMAZONAS","BALSAPUERTO",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"346","LORETO","ALTO AMAZONAS","LAGUNAS",NA,NA,NA,1,NA,NA,NA,NA,1,2
"347","LORETO","ALTO AMAZONAS","SANTA CRUZ",NA,NA,NA,NA,NA,NA,NA,1,1,2
"348","LORETO","ALTO AMAZONAS","TENIENTE CESAR LOPEZ ROJAS",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"349","LORETO","ALTO AMAZONAS","YURIMAGUAS",2,2,2,1,3,1,NA,NA,11,22
"350","LORETO","DATEM DEL MARAÑON","BARRANCA",NA,NA,NA,2,NA,NA,NA,NA,2,4
"351","LORETO","DATEM DEL MARAÑON","MANSERICHE",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"352","LORETO","UCAYALI","CONTAMANA",3,NA,NA,NA,NA,NA,NA,NA,NA,3
"353","LORETO","LORETO","NAUTA",NA,NA,NA,NA,1,1,NA,NA,NA,2
"354","LORETO","LORETO","TIGRE",NA,NA,NA,NA,1,1,NA,NA,NA,2
"355","LORETO","PUTUMAYO","PUTUMAYO",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"356","LORETO","REQUENA","ALTO TAPICHE",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"357","LORETO","REQUENA","REQUENA",NA,NA,NA,NA,1,1,NA,NA,NA,2
"358","LORETO","MARISCAL RAMON CASTILLA","RAMON CASTILLA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"359","LORETO","MARISCAL RAMON CASTILLA","YAVARI",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"360","MADRE DE DIOS","TAMBOPATA","INAMBARI",1,1,NA,1,2,3,NA,NA,NA,8
"361","MADRE DE DIOS","TAMBOPATA","LAS PIEDRAS",NA,NA,NA,NA,2,1,NA,NA,NA,3
"362","MADRE DE DIOS","TAMBOPATA","TAMBOPATA",2,NA,1,10,17,11,6,NA,NA,47
"363","MADRE DE DIOS","MANU","HUEPETUHE",NA,NA,NA,NA,1,1,NA,NA,NA,2
"364","MADRE DE DIOS","MANU","MADRE DE DIOS",NA,NA,NA,NA,2,2,NA,NA,NA,4
"365","MADRE DE DIOS","TAHUAMANU","IBERIA",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"366","MOQUEGUA","MARISCAL NIETO","MOQUEGUA",1,NA,NA,NA,NA,NA,NA,NA,2,3
"367","MOQUEGUA","ILO","ILO",4,1,NA,1,NA,NA,NA,NA,3,9
"368","PASCO","OXAPAMPA","CHONTABAMBA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"369","PASCO","OXAPAMPA","CONSTITUCION",NA,NA,NA,1,1,NA,NA,NA,NA,2
"370","PASCO","OXAPAMPA","OXAPAMPA",1,NA,1,1,NA,NA,NA,NA,NA,3
"371","PASCO","OXAPAMPA","PALCAZU",NA,1,1,3,NA,1,1,NA,NA,7
"372","PASCO","OXAPAMPA","POZUZO",1,1,1,NA,1,1,1,NA,NA,6
"373","PASCO","OXAPAMPA","PUERTO BERMUDEZ",1,1,2,7,4,1,NA,2,4,22
"374","PASCO","OXAPAMPA","VILLA RICA",NA,NA,NA,NA,2,NA,2,NA,NA,4
"375","PASCO","PASCO","CHAUPIMARCA",NA,NA,NA,1,NA,NA,NA,2,1,4
"376","PASCO","PASCO","HUARIACA",NA,NA,NA,NA,2,NA,1,NA,NA,3
"377","PASCO","PASCO","HUAYLLAY",NA,NA,NA,NA,NA,1,NA,NA,1,2
"378","PASCO","PASCO","PALLANCHACRA",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"379","PASCO","PASCO","SIMON BOLIVAR",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"380","PASCO","PASCO","YANACANCHA",NA,NA,NA,1,NA,1,NA,NA,1,3
"381","PASCO","DANIEL ALCIDES CARRION","CHACAYAN",NA,NA,NA,NA,NA,NA,NA,NA,2,2
"382","PASCO","DANIEL ALCIDES CARRION","YANAHUANCA",NA,1,1,1,NA,NA,NA,NA,NA,3
"383","PIURA","PIURA","CASTILLA",NA,2,1,NA,1,NA,NA,NA,NA,4
"384","PIURA","PIURA","CATACAOS",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"385","PIURA","PIURA","LA UNION",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"386","PIURA","PIURA","LAS LOMAS",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"387","PIURA","PIURA","PIURA",1,1,NA,NA,1,1,NA,NA,NA,4
"388","PIURA","PIURA","TAMBO GRANDE",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"389","PIURA","PIURA","VEINTISEIS DE OCTUBRE",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"390","PIURA","SULLANA","BELLAVISTA",NA,NA,NA,1,2,NA,NA,NA,1,4
"391","PIURA","SULLANA","MARCAVELICA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"392","PIURA","SULLANA","SULLANA",NA,NA,1,3,3,2,NA,NA,NA,9
"393","PIURA","TALARA","MANCORA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"394","PIURA","TALARA","PARIÑAS",NA,NA,1,NA,NA,2,NA,NA,NA,3
"395","PIURA","MORROPON","CHULUCANAS",NA,1,NA,NA,1,1,NA,NA,NA,3
"396","PIURA","MORROPON","MORROPON",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"397","PIURA","SECHURA","BERNAL",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"398","PIURA","SECHURA","SECHURA",3,1,NA,NA,NA,NA,NA,NA,NA,4
"399","PIURA","PAITA","PAITA",NA,NA,2,NA,2,1,NA,NA,NA,5
"400","PIURA","HUANCABAMBA","CANCHAQUE",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"401","PIURA","AYABACA","AYABACA",NA,NA,NA,NA,NA,NA,NA,NA,2,2
"402","PIURA","AYABACA","MONTERO",NA,NA,NA,NA,NA,NA,NA,NA,2,2
"403","PIURA","AYABACA","SAPILLICA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"404","PUNO","PUNO","PUNO",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"405","PUNO","CHUCUITO","JULI",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"406","PUNO","SAN ROMAN","JULIACA",1,NA,1,NA,NA,2,NA,NA,NA,4
"407","PUNO","AZANGARO","AZANGARO",NA,NA,NA,NA,NA,2,NA,NA,NA,2
"408","PUNO","AZANGARO","SAN JOSE",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"409","PUNO","SANDIA","ALTO INAMBARI",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"410","PUNO","SANDIA","SANDIA",NA,NA,NA,NA,3,1,NA,NA,NA,4
"411","PUNO","CARABAYA","ITUATA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"412","PUNO","LAMPA","LAMPA",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"413","SAN MARTIN","TOCACHE","TOCACHE",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"414","SAN MARTIN","PICOTA","PICOTA",NA,NA,1,NA,NA,NA,1,NA,3,5
"415","SAN MARTIN","PICOTA","PUCACACA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"416","SAN MARTIN","LAMAS","ALONSO DE ALVARADO",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"417","SAN MARTIN","LAMAS","CAYNARACHI",NA,NA,2,NA,NA,NA,NA,NA,NA,2
"418","SAN MARTIN","LAMAS","LAMAS",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"419","SAN MARTIN","MOYOBAMBA","CALZADA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"420","SAN MARTIN","MOYOBAMBA","MOYOBAMBA",NA,NA,NA,1,2,1,1,2,1,8
"421","SAN MARTIN","MOYOBAMBA","SORITOR",1,NA,NA,1,1,3,NA,NA,NA,6
"422","SAN MARTIN","MOYOBAMBA","YANTALO",NA,NA,NA,1,1,NA,NA,NA,NA,2
"423","SAN MARTIN","MARISCAL CACERES","JUANJUI",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"424","SAN MARTIN","SAN MARTIN","CHAZUTA",NA,1,NA,NA,1,NA,NA,NA,NA,2
"425","SAN MARTIN","SAN MARTIN","JUAN GUERRA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"426","SAN MARTIN","SAN MARTIN","LA BANDA DE SHILCAYO",NA,NA,1,NA,3,NA,NA,NA,NA,4
"427","SAN MARTIN","SAN MARTIN","SAUCE",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"428","SAN MARTIN","SAN MARTIN","TARAPOTO",NA,NA,NA,NA,2,NA,NA,NA,NA,2
"429","SAN MARTIN","BELLAVISTA","BELLAVISTA",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"430","SAN MARTIN","HUALLAGA","PISCOYACU",1,1,NA,NA,NA,NA,NA,NA,NA,2
"431","SAN MARTIN","HUALLAGA","SACANCHE",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"432","SAN MARTIN","HUALLAGA","SAPOSOA",2,1,NA,NA,NA,2,NA,NA,1,6
"433","SAN MARTIN","EL DORADO","AGUA BLANCA",1,NA,NA,NA,NA,NA,1,NA,NA,2
"434","SAN MARTIN","EL DORADO","SAN JOSE DE SISA",NA,1,4,3,1,NA,NA,NA,3,12
"435","SAN MARTIN","EL DORADO","SAN MARTIN",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"436","SAN MARTIN","EL DORADO","SANTA ROSA",1,NA,NA,1,NA,NA,NA,NA,NA,2
"437","SAN MARTIN","EL DORADO","SHATOJA",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"438","SAN MARTIN","RIOJA","AWAJUN",NA,NA,NA,NA,NA,1,NA,1,1,3
"439","SAN MARTIN","RIOJA","ELIAS SOPLIN VARGAS",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"440","SAN MARTIN","RIOJA","NUEVA CAJAMARCA",NA,1,NA,NA,2,NA,NA,1,1,5
"441","SAN MARTIN","RIOJA","PARDO MIGUEL",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"442","SAN MARTIN","RIOJA","RIOJA",NA,NA,NA,NA,NA,1,NA,1,1,3
"443","TACNA","TACNA","CIUDAD NUEVA",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"444","TACNA","TACNA","CORONEL GREGORIO ALBARRACIN LANCHIPA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"445","TACNA","TACNA","TACNA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"446","TUMBES","TUMBES","CORRALES",NA,NA,1,NA,NA,1,1,2,1,6
"447","TUMBES","TUMBES","LA CRUZ",1,NA,NA,1,NA,NA,NA,NA,NA,2
"448","TUMBES","TUMBES","SAN JACINTO",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"449","TUMBES","TUMBES","TUMBES",1,2,NA,4,2,3,5,4,6,27
"450","TUMBES","ZARUMILLA","AGUAS VERDES",2,1,2,1,NA,NA,NA,NA,1,7
"451","TUMBES","ZARUMILLA","ZARUMILLA",NA,NA,1,NA,NA,NA,1,NA,1,3
"452","TUMBES","CONTRALMIRANTE VILLAR","CANOAS DE PUNTA SAL",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"453","TUMBES","CONTRALMIRANTE VILLAR","ZORRITOS",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"454","UCAYALI","CORONEL PORTILLO","CALLERIA",2,NA,1,NA,4,6,NA,NA,1,14
"455","UCAYALI","CORONEL PORTILLO","IPARIA",NA,NA,NA,1,NA,1,NA,NA,NA,2
"456","UCAYALI","CORONEL PORTILLO","MANANTAY",1,1,1,NA,3,3,1,NA,1,11
"457","UCAYALI","PADRE ABAD","CURIMANA",2,NA,NA,NA,NA,NA,NA,NA,NA,2
"458","UCAYALI","PADRE ABAD","PADRE ABAD",1,NA,1,2,NA,NA,1,NA,NA,5
"459","UCAYALI","ATALAYA","RAIMONDI",NA,NA,NA,NA,6,8,3,11,9,37
"460","UCAYALI","ATALAYA","RAYMONDI",5,2,11,10,NA,NA,NA,NA,NA,28
"461","UCAYALI","ATALAYA","SEPAHUA",NA,2,1,2,7,NA,NA,NA,1,13
"462","UCAYALI","ATALAYA","TAHUANIA",NA,3,NA,1,NA,3,NA,1,NA,8
